second,Volt
-8.12500E-09,+4.40043262037216E+00
-8.04688E-09,+4.40043262037216E+00
-7.96875E-09,+4.40043262037216E+00
-7.89063E-09,+4.40043262037216E+00
-7.81250E-09,+4.40043262037216E+00
-7.73438E-09,+4.40043262037216E+00
-7.65625E-09,+4.40043262037216E+00
-7.57813E-09,+4.40043262037216E+00
-7.50000E-09,+4.40043262037216E+00
-7.42188E-09,+4.40043262037216E+00
-7.34375E-09,+4.40043262037216E+00
-7.26563E-09,+4.40043262037216E+00
-7.18750E-09,+4.40043262037216E+00
-7.10938E-09,+4.40043262037216E+00
-7.03125E-09,+4.40043262037216E+00
-6.95313E-09,+4.40043262037216E+00
-6.87500E-09,+4.40043262037216E+00
-6.79688E-09,+4.40043262037216E+00
-6.71875E-09,+4.40043262037216E+00
-6.64063E-09,+4.40043262037216E+00
-6.56250E-09,+4.40043262037216E+00
-6.48438E-09,+4.40043262037216E+00
-6.40625E-09,+4.40043262037216E+00
-6.32813E-09,+4.40043262037216E+00
-6.25000E-09,+4.40043262037216E+00
-6.17188E-09,+4.40043262037216E+00
-6.09375E-09,+4.40043262037216E+00
-6.01563E-09,+4.40043262037216E+00
-5.93750E-09,+4.40043262037216E+00
-5.85938E-09,+4.40043262037216E+00
-5.78125E-09,+4.40043262037216E+00
-5.70313E-09,+4.40043262037216E+00
-5.62500E-09,+4.40043262037216E+00
-5.54688E-09,+4.40043262037216E+00
-5.46875E-09,+4.40043262037216E+00
-5.39063E-09,+4.40043262037216E+00
-5.31250E-09,+4.40043262037216E+00
-5.23438E-09,+4.40043262037216E+00
-5.15625E-09,+4.40043262037216E+00
-5.07813E-09,+4.40043262037216E+00
-5.00000E-09,+4.40043262037216E+00
-4.92188E-09,+4.40043262037216E+00
-4.84375E-09,+4.40043262037216E+00
-4.76563E-09,+4.40043262037216E+00
-4.68750E-09,+4.40043262037216E+00
-4.60938E-09,+4.40043262037216E+00
-4.53125E-09,+4.40043262037216E+00
-4.45313E-09,+4.40043262037216E+00
-4.37500E-09,+4.40043262037216E+00
-4.29688E-09,+4.40043262037216E+00
-4.21875E-09,+4.40043262037216E+00
-4.14063E-09,+4.40043262037216E+00
-4.06250E-09,+4.40043262037216E+00
-3.98438E-09,+4.40043262037216E+00
-3.90625E-09,+4.40043262037216E+00
-3.82813E-09,+4.40043262037216E+00
-3.75000E-09,+4.40043262037216E+00
-3.67188E-09,+4.40043262037216E+00
-3.59375E-09,+4.40043262037216E+00
-3.51563E-09,+4.40043262037216E+00
-3.43750E-09,+4.40043262037216E+00
-3.35938E-09,+4.40043262037216E+00
-3.28125E-09,+4.40043262037216E+00
-3.20313E-09,+4.40043262037216E+00
-3.12500E-09,+4.40043262037216E+00
-3.04688E-09,+4.40043262037216E+00
-2.96875E-09,+4.40043262037216E+00
-2.89063E-09,+4.40043262037216E+00
